,Review ID,Country,Version,Rating,Date,Doc Sentiment,Asp Sentiment,Review,Aspects,AspectText,Positions
0,5464235433,Canada,20.01.5,1,2020-01-30,negative,negative,latest app update. this update is terrible basically unusable please change it back asap,app,app,"7,9"
1,5466985498,USA,20.01.5,5,2020-01-30,positive,positive,life saver. one my favorite apps to use while working. i’m on it like a social media page. thanks quick books.,app,apps,"28,31"
2,5460552711,USA,20.01.4,1,2020-01-29,negative,negative,worst update yet. just deleted. crashed. didn’t update banking. five star to one in a flash.,quality,deleted,"23,29"
3,5461476287,USA,20.01.4,1,2020-01-29,negative,negative,transferring to turbotax. transferring company file from online quickbooks to turbotax is only was possible by transferring the company file to desktop quickbooks and from there to turbotax. to do this transition you will need an old computer with windows 7 and ie11 32 bit. totally ridiculous and intuit looks does not care about this issue and left their customers alone with the issue. it’s a shame.,quality,turbotax,"16,23"
4,5462529796,USA,20.01.4,5,2020-01-29,positive,positive,great app for small business owners!. i have a handyman business and this app made the paperwork side of the business easy!! i definitely recommend,app,app,"6,8"
5,5462810796,USA,20.01.4,4,2020-01-29,neutral,negative,"good but needs multi currency. very easy to use but multi currency is a pain. i’m based in us but invoice in uk, mexico and spain and with quickbooks you have to be 100% one currency so it’s a pain for my customers and makes me look second rate as a “in global” business",invoicing,invoice,"98,104"
6,5463636249,USA,20.01.4,5,2020-01-29,neutral,positive,"ceo, bear island brewing co. i was hesitant to change the way i was doing things and use quickbooks when we switched to it a few years back. it has literally transformed how we do things in such a positive manner! i look back to how i used to do it and regret not making the switch sooner.",quality,app,"25,27"
7,5457348650,United Kingdom,20.01.4,4,2020-01-28,neutral,positive,"good app but. it’s a good app but you should be able to mark invoices as paid and deposited via the app. my paid invoices are regularly, incorrectly shown as unpaid. i have to wait until i have time to go on my laptop and mark them as paid via the website",app,app,"5,7"
8,5457348650,United Kingdom,20.01.4,4,2020-01-28,neutral,negative,"good app but. it’s a good app but you should be able to mark invoices as paid and deposited via the app. my paid invoices are regularly, incorrectly shown as unpaid. i have to wait until i have time to go on my laptop and mark them as paid via the website",invoicing,invoices,"61,68"
9,5458816015,USA,20.01.4,3,2020-01-28,negative,negative,"having issues with iphone 11. after installing the app, and attempting to access it results in crashing.",quality,issues,"7,12"
10,5458816015,USA,20.01.4,3,2020-01-28,negative,negative,"having issues with iphone 11. after installing the app, and attempting to access it results in crashing.",app,app,"51,53"
11,5454240498,USA,20.01.3,3,2020-01-27,negative,negative,newest update doesn’t load dashboard. dashboard and home button do nothing now. iphone 11 pro max. blank screen.,dashboard,dashboard,"27,35"
12,5456399849,Australia,20.01.4,5,2020-01-27,positive,positive,"it just works. see above. in the office, on the site. wherever. i have used a broad range of applications over the last 20 years in business and quickbooks is the simplest, functional piece of software for our consultancy business i have found. happy to recommend it to other small business owners who want to spend time in their profession and and not on the books.",app,software,"193,200"
13,5450015070,United Kingdom,19.10.1,3,2020-01-26,negative,negative,"it's ok but don't get the most basic package. it's a vast improvement on another app i tried but the most basic pack makes me want more, upgrading now if i can so recommend you start with a higher grade package rather than the cheapest.",app,app,"81,83"
14,5451150444,USA,20.01.3,2,2020-01-26,negative,negative,terrible. this app has so many problems. it will freeze up and the only way to fix it is to delete he app and download it again. i wii ok old not recommend.,app,app,"15,17"
15,5451150444,USA,20.01.3,2,2020-01-26,negative,negative,terrible. this app has so many problems. it will freeze up and the only way to fix it is to delete he app and download it again. i wii ok old not recommend.,quality,problems,"31,38"
16,5452059793,USA,20.01.3,3,2020-01-26,negative,negative,"not happy with new update. new update has made navigating to the chart of accounts very annoying. you have to access one of 3 accounts (determined by qbs) that show up on the main page and then push the back button, magically the accounts list appears. poor design, but a simple fix. i don’t mind that the menu button has moved to the bottom, just please add a “chart of accounts” link. thanks.",updates,update,"19,24"
17,5447710631,USA,20.01.3,1,2020-01-25,negative,negative,garbage. app stinks,quality,garbage,"0,6"
18,5447710631,USA,20.01.3,1,2020-01-25,negative,negative,garbage. app stinks,app,app,"9,11"
19,5448488441,USA,20.01.3,1,2020-01-25,negative,negative,the worst customer service ever. don’t waist your time. trust my word. update. i’m paying for 3 of the same app now and still can’t get any help.,customer service,customer service,"10,25"
20,5443239621,Canada,20.01.3,1,2020-01-24,negative,negative,"unable to download. it keep saying you already own this app so it will download, but nothing happens",app,app,"56,58"
21,5443905887,USA,19.12.1,2,2020-01-24,negative,negative,quicken is better. this is far more cumbersome than quicken was. the help desk has not been much help either. wouldn’t you think as a business software it could put together a loan to a 3rd party with each payment allocated to the interest and principal due each month. quicken can !!,app,software,"143,150"
22,5444473551,USA,20.01.3,3,2020-01-24,negative,negative,app doesn’t open. app doesn’t open on the new iphone pro,app,app,"0,2"
23,5439220668,USA,20.01.3,1,2020-01-23,negative,negative,app is almost useless for me.. the only reason i upgraded to quickbooks on line was so that i could do estimates and invoicing on site. this app will allow me to do an estimate but will not let me do a partial invoice. if i can’t do a partial invoice on the app it’s simply a waste of time for my small fencing business.,app,app,"0,2"
24,5439220668,USA,20.01.3,1,2020-01-23,negative,negative,app is almost useless for me.. the only reason i upgraded to quickbooks on line was so that i could do estimates and invoicing on site. this app will allow me to do an estimate but will not let me do a partial invoice. if i can’t do a partial invoice on the app it’s simply a waste of time for my small fencing business.,invoicing,invoicing,"117,125"
25,5435663943,United Kingdom,20.01.3,1,2020-01-22,negative,negative,"terrible support - avoid. terrible, terrible support. continual promises of call backs from customer support agents on live chat never happen because the bugs you find are too hard. open tickets for bugs never get resolved. you ask for a supervisor or manager and you have to email the person you’re complaining about?! get told that because of system bugs you have to manually delete the key back in multiple entries. you’ll be left at year end with books that don’t balance like me. avoid!",customer service,support,"9,15"
26,5435663943,United Kingdom,20.01.3,1,2020-01-22,negative,negative,"terrible support - avoid. terrible, terrible support. continual promises of call backs from customer support agents on live chat never happen because the bugs you find are too hard. open tickets for bugs never get resolved. you ask for a supervisor or manager and you have to email the person you’re complaining about?! get told that because of system bugs you have to manually delete the key back in multiple entries. you’ll be left at year end with books that don’t balance like me. avoid!",quality,bugs,"154,157"
27,5436312589,United Kingdom,20.01.3,4,2020-01-22,neutral,negative,"ui design issues. a lot of navigation buttons use white text on a light grey background, making them almost impossible to see. this makes navigation through the app very difficult.",quality,issues,"10,15"
28,5426797669,USA,20.01.3,1,2020-01-20,negative,negative,one of the worst decisions ever!. i decided to move forward with quick books because of a friend recommending it to me. this has been one of the worst experiences ever. the customer service is terrible and the fact that quick books owes me money is even worst. i highly recommend that no one uses this service.,customer service,customer service,"173,188"
29,5428834151,Canada,20.01.3,1,2020-01-20,negative,negative,rates have doubled with no appreciable improvement in the system. now i just tried to use the app on an ipad and i cant even generate a journal entry... grrrrrrrrrrrr!,app,app,"27,29"
30,5421575366,USA,20.01.3,1,2020-01-19,negative,negative,stopped working. worked great until about 1 week ago. now i can’t see income and expense charts. also can’t view and accept transactions. i’m using an iphone 7.,quality,transactions,"124,135"
31,5423432647,Canada,20.01.3,1,2020-01-19,negative,negative,mileage tracker not working.. so far quickbooks support has not been able to get the mileage tracking feature to work on my phone. iphone6. won’t manually of automatically track mileage and wb support has not resolved or explained why. partial functionality is not good enough!,experience,mileage tracker,"0,14"
32,5423432647,Canada,20.01.3,1,2020-01-19,negative,negative,mileage tracker not working.. so far quickbooks support has not been able to get the mileage tracking feature to work on my phone. iphone6. won’t manually of automatically track mileage and wb support has not resolved or explained why. partial functionality is not good enough!,mileage tracking,mileage tracking feature,"85,108"
33,5416855483,USA,20.01.2,1,2020-01-18,negative,negative,useless. useless. confusing and incomprehensible.,quality,confusing,"18,26"
34,5412599238,USA,20.01.2,1,2020-01-17,negative,negative,don’t use this with an ipad.. bought this app and was unable to get it to work with an ipad. 4 hours on the phone with this company and still no success. they charged me and told me to get my money back through apple. there is an open known problem being worked on their end but user’s beware. you won’t find out until you’ve paid.,app,app,"42,44"
35,5408964458,USA,20.01.2,1,2020-01-16,negative,negative,"app notifications. app has issues which never get fixed. always receive a bug upon opening, can’t connect to bank account until refreshed, deleted invoices won’t delete, i no longer receive notifications when customers make payments. tried reinstalling, nothing works. how do i get this corrected?",app,app,"0,2"
36,5408964458,USA,20.01.2,1,2020-01-16,negative,negative,"app notifications. app has issues which never get fixed. always receive a bug upon opening, can’t connect to bank account until refreshed, deleted invoices won’t delete, i no longer receive notifications when customers make payments. tried reinstalling, nothing works. how do i get this corrected?",quality,issues,"27,32"
37,5408964458,USA,20.01.2,1,2020-01-16,negative,negative,"app notifications. app has issues which never get fixed. always receive a bug upon opening, can’t connect to bank account until refreshed, deleted invoices won’t delete, i no longer receive notifications when customers make payments. tried reinstalling, nothing works. how do i get this corrected?",invoicing,invoices,"147,154"
38,5409290074,Canada,20.01.2,1,2020-01-16,negative,negative,can’t upload receipts. it’s incredibly ridiculous that you can’t upload receipts from anywhere but your photos app. what if you get emailed an invoice? nope can’t upload it!,app,upload,"6,11"
39,5406978223,USA,20.01.1,1,2020-01-15,negative,negative,horrible. worst company and app to deal with. had to click 1 star they are negative 5 stars,experience,horrible,"0,7"
40,5406978223,USA,20.01.1,1,2020-01-15,negative,negative,horrible. worst company and app to deal with. had to click 1 star they are negative 5 stars,app,app,"28,30"
41,5407767899,USA,20.01.1,1,2020-01-15,negative,negative,bad update. i was having trouble with the mileage tracker and now with the update i can’t even check the settings. please fix this. i am paying for this service to help run my business. this isn’t a free game app.,updates,update,"4,9"
42,5407767899,USA,20.01.1,1,2020-01-15,negative,negative,bad update. i was having trouble with the mileage tracker and now with the update i can’t even check the settings. please fix this. i am paying for this service to help run my business. this isn’t a free game app.,app,app,"209,211"
43,5400355921,USA,20.01.0,1,2020-01-14,negative,negative,bad update. befoe you used to record bank feed but no more! this update ruined the quickbooks app,updates,update,"4,9"
44,5400282120,USA,20.01.0,3,2020-01-14,positive,positive,"overall i recommend this app. i have a mobile veterinary service and use this for all of my billing while i'm on the road. it saves me time by allowing me to bill my clients on site at the time of service, and even process the credit card if they choose to pay that way. the only downside is that the cost per month lewis going up.",app,app,"25,27"
45,5403654252,USA,20.01.0,1,2020-01-14,negative,negative,"mileage tracker, not working. i have emailed for help, chatted with online help and nothing is solved. the last response i got from the chat support was “oh.” there is something wrong with the app not my phone. i can’t even save mileage manually, i get an error that says “try back later” i am paying $40/month, this needs to work.",experience,mileage tracker,"0,14"
46,5403654252,USA,20.01.0,1,2020-01-14,negative,negative,"mileage tracker, not working. i have emailed for help, chatted with online help and nothing is solved. the last response i got from the chat support was “oh.” there is something wrong with the app not my phone. i can’t even save mileage manually, i get an error that says “try back later” i am paying $40/month, this needs to work.",customer service,support,"141,147"
47,5403654252,USA,20.01.0,1,2020-01-14,negative,negative,"mileage tracker, not working. i have emailed for help, chatted with online help and nothing is solved. the last response i got from the chat support was “oh.” there is something wrong with the app not my phone. i can’t even save mileage manually, i get an error that says “try back later” i am paying $40/month, this needs to work.",quality,error,"256,260"
48,5394515937,USA,20.01.0,1,2020-01-12,negative,negative,doesn’t sync with quickbooks online account. the app isn’t syncing with online account data. was hoping to use the app for quick entry while on the go.,experience,does,"0,3"
49,5394515937,USA,20.01.0,1,2020-01-12,negative,negative,doesn’t sync with quickbooks online account. the app isn’t syncing with online account data. was hoping to use the app for quick entry while on the go.,app,app,"49,51"
50,5390430882,USA,20.01.0,5,2020-01-11,neutral,neutral,don’t use the pay options.. app is great but don’t use the pay option. it took a week for the money to hit my account.,app,app,"28,30"
51,5382852584,USA,20.01.0,5,2020-01-10,positive,positive,"faith. helps remove the fear & self doubt of being self employed, so glad i took the leap!",quality,glad,"69,72"
52,5386738311,France,20.01.0,2,2020-01-10,negative,negative,connections banque. appli pas intuitive du tout. impossible de ce connecter aux compte bancaires. bugs a répétition,quality,bugs,"98,101"
53,5379833032,USA,20.01.0,5,2020-01-09,positive,positive,well thought out. truly like the app now. i can import names from my iphone and do many of the things i can do on a main computer. i’d like to see them allow the entering of bills on the app. i’d use that all the time.,app,app,"33,35"
54,5380739839,USA,20.01.0,4,2020-01-09,positive,positive,"very helpful.... there are some glitches with a couple of the features but for the most part, it’s exactly what i need. a great help for record keeping and invoicing my customers efficiently. there should be an option to select and send multiple invoices at once. i have multiple invoices per customer each week.",invoicing,invoices,"246,253"
55,5382245135,USA,20.01.0,5,2020-01-09,positive,positive,so easy to do books on the go!. i cannot say enough about the convenience of the app. i use it as soon as i get paid to log payments on it novices and enter sales receipts. this app and hiring a bookkeeper have been the best financial tools for the success of my business!,app,app,"81,83"
56,5382302138,Canada,20.01.0,5,2020-01-09,positive,positive,wow!. such an easy app to use as a new business owner and entrepreneur this really helps keep track of tax purposes and client sales!,app,app,"19,21"
57,5381452529,Brazil,20.01.0,1,2020-01-09,negative,negative,"n entendi nd. tenho 17 anos, nao entendi nd, sou burra ou esse app é ruim? talvez a primeira opção, mas de qq forma n gostei",updates,nd,"6,7"
58,5381452529,Brazil,20.01.0,1,2020-01-09,negative,negative,"n entendi nd. tenho 17 anos, nao entendi nd, sou burra ou esse app é ruim? talvez a primeira opção, mas de qq forma n gostei",app,app,"63,65"
